"Date";"Num?ro de Carte";"Description";"Cat?gorie";"Debit";"Credit"
"2027-12-27";"************4382";"Late Payment Fee";"Fees";"24.31";"0"
"2027-12-26";"************4382";"Postbox Rental";"Housing";"489.53";"0"
"2027-12-25";"************4382";"City Cab Network";"Transport";"73.34";"0"
"2027-12-24";"************4382";"Travel Booking Refund";"Refunds";"0";"69.15"
"2027-12-24";"************4382";"Harbor Noodle House";"Dining";"59.22";"0"
"2027-12-24";"************4382";"CarePlus Lab Services";"Health";"309.64";"0"
"2027-12-24";"************4382";"ActiveLife Physiotherapy";"Health";"39.46";"0"
"2027-12-23";"************4382";"Credit Card Payment Thank You";"Payments";"0";"850.65"
"2027-12-22";"************4382";"Wellington Pantry Co";"Groceries";"106.49";"0"
"2027-12-22";"************4382";"PuzzleRoom Adventure";"Entertainment";"176.32";"0"
"2027-12-22";"************4382";"PrintWorks Studio";"Business";"251.81";"0"
"2027-12-21";"************4382";"DesignMarket License";"Business";"158.08";"0"
"2027-12-20";"************4382";"Queenstown Path Pass";"Travel";"869.19";"0"
"2027-12-20";"************4382";"Harbor Noodle House";"Dining";"79.32";"0"
"2027-12-20";"************4382";"Harbor Noodle House";"Dining";"60.70";"0"
"2027-12-19";"************4382";"NorthLine Bus Card";"Transport";"24.99";"0"
"2027-12-18";"************4382";"Interest Charge";"Fees";"26.28";"0"
"2027-12-18";"************4382";"Coastal Spoon Cafe";"Dining";"36.36";"0"
"2027-12-18";"************4382";"Brooklyn Sandwich Bar";"Dining";"41.92";"0"
"2027-12-17";"************4382";"PostalPro Shipping";"Business";"120.16";"0"
"2027-12-17";"************4382";"Online Payment Received";"Payments";"0";"528.51"
"2027-12-16";"************4382";"Rent Payment Willow Street";"Housing";"1441.38";"0"
"2027-12-16";"************4382";"Pacific Coast Hostel";"Travel";"895.15";"0"
"2027-12-16";"************4382";"BookTown Store";"Entertainment";"174.52";"0"
"2027-12-15";"************4382";"SouthGrid Electric";"Utilities";"144.27";"0"
"2027-12-15";"************4382";"Foreign Exchange Fee";"Fees";"24.38";"0"
"2027-12-15";"************4382";"Canterbury Family Foods";"Groceries";"27.28";"0"
"2027-12-14";"************4382";"Streaming Box Monthly";"Entertainment";"61.60";"0"
